Student Number,Gender,Race,Hispanic / Latino,Grade Level,LEP Indicator Code,Eligible for Free or Reduced Lunch,Has Active at Risk,Has Special Education Enrollment TX,IEP Continuer,Housing Status,Active,Language Description,Status of Enrollment
271437,F - Female,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264052,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
285316,M - Male,White,TRUE,11,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
271430,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
265640,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271620,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
286470,M - Male,White,TRUE,9,,No,Yes,No,No,Homeless,No,ENGLISH,Active
271489,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264993,F - Female,White,TRUE,12,5,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
278543,F - Female,White,TRUE,12,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269746,F - Female,Amer Indian,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264807,F - Female,Amer Indian,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266425,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
260919,M - Male,White,TRUE,11,C,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
268624,F - Female,White,TRUE,10,,No,No,No,No,Not Applicable,No,ENGLISH,Active
264220,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269367,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
267491,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269745,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
267509,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264034,M - Male,Amer Indian,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266303,F - Female,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
263638,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
262966,M - Male,White,TRUE,12,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
267115,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
265111,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
